chapter	ordinal	label	exercise_sha256	hint_sha256	solution_sha256	status
IV/04	5	exr:iv04-05	f49c20fc47d99b264810ce10041f2b3c28d1d65fef4a4d0230a3c696bc4af206	1540e3ea35886ed301996d766dc1ddb95eb926334c3c4cb19d238b207fa271c0	6d5afd408cad4413e8777ce5b012f04f6a15b8a9e86f0ac3fc0b220d3d78a254	PASS
IV/04	6	exr:iv04-06	cfed7a2f513d95d330d79e26382584d21732c537cc0a7fbfa560dfbc5e4f67b0	1b2966f48d425dc6d66de584318311828b7bb52b4caf6273a00dff574c22b14c	8bf5258ab9b0c49fc2f3eee3f9992a1c68b166a2796f8d0b80e0c5bf982e7794	PASS
IV/04	7	exr:iv04-07	2e1af7b0ae713107499c650c8d7006b372a4a3dc127e6ec7f5e4a96fe4183f94	5f21caade0c39fc1552e29dfb7dd362b6f37b405f0ecf527e4a10a6d7c88e984	a5a3e443635eceddb8f544a15b34f0b97563e854545f13b689ca7d16b0c2d050	PASS
IV/04	8	exr:iv04-08	c7e8597eab0fe1f5d3313f758ac2a9f7c5b9f1e60d6a4dbf7c1f768660cb4620	dcbc4c20c4e9b68d5fbf8dda3bf0170eb80c7ea1bac1c4e0775e4e6cdb3c9f7b	9722da3be7db5fff644d54b17581b952b2a81f515e42d627113400c1feb47989	PASS
IV/04	9	exr:iv04-expand-01	b2e48f24124d74927f28b58650422710289bb8ec0f70edff935cccf03d1c11ff	896502297cb20a06a62faf265fa81f297ddafd5c35d983c51f60ce910226ac39	82a1b318f5a7121b7c9868650fcb3c70cb5ba01723bd554913ce5039573faee3	PASS
IV/04	10	exr:iv04-expand-02	5ade08aa467ee9913a3fd663aacaf9c8e734667b1d1577d6944daf183e6d3e38	fdf4843d53356168e8d963f4ffaf864b779b29fbb98041516c6a25ad9326ac6f	42a60ab7b48271f2446624dc2632518bcbcb72394c98aa865e5c2c0ab97a79a5	PASS
IV/04	11	exr:iv04-expand-03	f13dccd12834a8823d04f3cf16c57cd5aed8e1510d47cf20c0366e08adecc9cd	fb87fb4a033ebff32fcbac74bb2cf5628c8f6ddabcba63c0c953345aadcd38b0	783e1f6253577d63daf52e696d1a912c8808cfbdfd21003f334243997fda9270	PASS
IV/04	12	exr:iv04-expand-04	9de20b882c5fb01481f5303d1958124f2de3027c92e19fb5a4b9b7b05d56d213	8dbf1d24437ca9ad21df6c85827bd4fceb920a61f33f665fe3f537cf2be90996	38822e06851d2498546253b57905a2b04960d6f1a9028886098f899d6347abfe	PASS
IV/04	13	exr:iv04-expand-05	e90dcec1c02805329d0f9d40d31c57f2ca757aff5514764ea312334fe28883aa	7c63fce28c7c9daa1e55acc4e732ef61608bfc26c564ab4af3f370cbbacf7f1b	8e0c2cb8101bdb08d5f9649a2301071a63d6f7d27d549856d2e8edfbb5a210ab	PASS
IV/04	14	exr:iv04-expand-06	968093d49b62e104e1ae57d72d21896e7e404856a88984777a875140b46ab42e	0e1046e0e3590fc1a291beda440a03c872c4b056b24704b048fb1a7de1c58ec2	16ddd96e72faf6b9b1642a069c08813379f80caa8077cdcf284cb1c43328efa5	PASS
IV/04	15	exr:iv04-expand-07	82bad0c7f9e401188460c948848302e9089455d785f461d52fe6e62dba417fa4	03066a5717b2fa188268566f92d6c81c2ec9b2dff09fe8b5c10b2ceed667f893	42b2f27dcddc4508be5fbb10a51144d0292823c5992e08b29c40358a0028566d	PASS
IV/04	16	exr:iv04-expand-08	6d5b2b70f545c79dc948426c509c54fc8781b3a79cf61954192bd09e895180bc	674b7a6281710b14e1a3d03d86b91d59064415664925d86d202e860183218454	fb405cb886f675712b008ef2f995311e335ea6c0b3f7717d36c220d22ad4be50	PASS
IV/04	17	exr:iv04-expand-09	da5d7a83580d077480c34a3452d4bce6de8b215d16c6f7f88997ffb323ae1324	5c8886204afd52a0506300edbd8ac80d25eed295512b9c6453ae6e2a777cdf05	46a93935b3687318b5e42b3cc321f2965e2a60b815a573efa152894904921dfd	PASS
IV/04	18	exr:iv04-expand-10	1f5d3f5f7a4384e4de2a78652720e5d97f70a6f84689067fa6c5f2f41fe6a476	e9e1ea5ac526ddde21160d3975f623529cdb953cf0f7ede94c373794d7fe5805	bb9361ab74c69fce43b5f2c9bb5a671a3eb14f397dece7cd83ffc29ac3b727c3	PASS
IV/04	19	exr:iv04-expand-11	5910b3c21f0a9f111a13a6adc091df9a341599eb95df7ac37c1891eb27d0d0d9	39202e3ce68ed3aa0d89c6eb1815111b1e5d6181f7f84ede4cb6337e5276b8db	8aa56ecc4fe03b08c7b5569471896b4ea58f647d7e4435742baa9bb49bcb3bb9	PASS
